Job titel,Job description,Company,Employees,Field,Type of work,Level,Remote
Lead Analyst - Servicing Platform,"We’re looking for a Lead Analyst to join our growing Servicing Tribe across Tallinn, Estonia, Budapest, Hungary or London, UK. This role is a unique opportunity to move Wise’s mission forward, grow as a product leader and help save millions more people money.

Your mission:

Wise has already pioneered new ways for people to transfer money across borders and currencies. Our customers can also manage their hard-earned money with the world’s first platform to offer true multi-currency banking.

Your mission as a lead is to grow a team of analysts, who would help enable our financial crime prevention teams (Fraud, AML, KYC or Verification) to scale globally and help drop our costs. You’ll also work extensively with our Operations leadership team, to help them as they manage, improve and scale our operations.

Here’s how you’ll be contributing to the Servicing Platform Squad:

Leadership
Support and develop the analyst function within the tribe, lead a team of ~3 analysts
Hiring and on-boarding new analysts to the tribe
Mentoring and providing technical support to analysts
Guide analyst work across the tribe; e.g. help junior analysts structure projects, define data structure cross team projects

Supporting the Squad
Support and develop the reporting layer for the area
You’ll partner with our Operations Leadership team to help them build and improve the quality and efficiency of their processes and their performance metrics
Our analysts are embedded into the product teams of the tribe, to help project and measure the impact of our product changes, both for our customer self-service and internal tooling
Work closely with the Data Science team to improve the quality of our data models
Your team will help us understand our support teams' efficiency, the effectiveness of our tooling and workflows, the accuracy of our forecasting and scheduling. You’ll also help the leads of our support team self-serve with data

Product Improvement
Do cost analysis and reconciliation
You’ll oversee our contact data and share contact attribution along with actionable insights across the product teams, helping them engage with the data correctly and in turn reduce contact rates
You’ll identify opportunities how to use our data and machine learning , in order to automate and optimise our processes and solutions

This role will give you the opportunity to:
Choose your path to impact - we believe people are most empowered when they can act autonomously. So rather than telling you what to do, you’ll work with your team to create a vision of your own. Of course, you can always gather feedback from smart, curious people across Wise but you’ll have the freedom to make your own calls
Grow as a leader - Build your team and inspire them to contribute to our mission
Be part of our mission to make money without borders the new normal

About you:
You have experience working across operational teams. You can lead operational analysis, support them with data, and drive operational change
You have led and scaled a team of analysts
You know your way around the infrastructure of analytics and have worked with cloud warehouses (e.g. Snowflake, BigQuery, or Redshift), have knowledge of BI tools (e.g. Looker, Periscope, or Metabase) and/or visualisation tools (e.g. PowerBI or Tableau)
You're highly proficient with SQL, able to write structured and sustainable code and continue to develop and refine this skillset
You have experience structuring basic research experiments (A/B testing)
You can take complex, fuzzy problems and boil them down into concise and actionable insights

Nice to haves:
Experience working in KYC/Fraud prevention domains is a plus
You're proficient with Python, able to automate complex processes and construct robust data pipelines.

Key benefits:
Flexible working - whether it’s working from home, school plays or life admin we get that flexibility is essential and you’re trusted to do the right thing and be responsible
Stock options in a profitable company
Relocation support
Generous parental leave
Pension scheme
Paid sabbatical
Loads of development opportunities
A fun work environment with social activities and events
The opportunity to work with super smart, curious people

We have a hybrid working model at Wise. Different teams will have different requirements depending on the team needs and your role. Find out more about hybrid working at Wise here.

We’re people without borders — without judgement or prejudice, too. We want to work with the best people, no matter their background. So if you’re passionate about learning new things and keen to join our mission, you’ll fit right in.

Also, qualifications aren’t that important to us. If you’ve got great experience, and you’re great at articulating your thinking, we’d like to hear from you.

And because we believe that diverse teams build better products, we’d especially love to hear from you if you’re from an under-represented demographic.
Note: Due to Christmas and New Years please expect a response to your application w/c 2nd January at the latest

If you want to find out more about what it's like to work at Wise visit Wise.Jobs.

Keep up to date with life at Wise by following us on LinkedIn and Instagram.",Wise,"1,001-5,000",Financial Services,Full-time,Mid-Senior level,-
Biostatistician 2 - Real World Evidence (Home-Office Based),"Biostatistician 2- Real World Evidence

Join us on our exciting journey!

Home-Based/Hybrid: Portugal, Czech Republic, Latvia and Estonia.

IQVIA Real-World Evidence (RWE) teams work with clients to help them collect and use real-world data to generate evidence to meet the needs of regulators, payers, providers, and patients.

Our approach is unique in the industry and is defining the way companies develop and apply real-world evidence for healthcare decision making.

We are collaborative, intellectually curious, entrepreneurial, and constantly looking for opportunities to harness the value of real-world evidence in an evolving industry.

We have one of the largest Biostatistics departments within the industry and due to continued growth, we are seeking new brave minds to join our innovative department.

Job Overview:

As a Biostatistician 2, you will be given access to cutting-edge in-house technology, allowing you to work on global projects across a variety of therapeutic areas and thanks to our development opportunities and mentoring at all levels, you will be able to progress your long-term career in the direction you choose.

You will develop statistical methods sections of protocols and prepare statistical analysis plan. Furthermore write specifications for analysis files, consistency checks, tables, and figures.

Communicate with clients regarding study protocol or statistical analysis issues as they arise.

Interpret analyses and write statistical sections of study reports.

Key Responsibilities:
Act as a statistical lead on studies.
Working closely with the Project Team Lead and supervisor to deliver on time, with high quality and within budget.
Writing and performing quality control (QC) reviews of Statistical Analysis Plan (SAP) and Shells.
Writing and maintaining programming specifications. Programming assigned datasets to industry standards.
Assisting with protocol development, sample size calculation.
Building and maintaining effective customer relationships, driving statistical discussions, providing support and / or guidance for statistical activities.
Managing scope of work and budget, and providing revenue and resource forecasts for single studies
Supporting colleagues and providing motivation as needed.
Requirements:
BSc or MSc degree in Biostatistics or related field, and 4-6 year´s relevant experience within the life-science industry
Familiarity with moderately complex statistical methods
Good working knowledge of SAS or R
Great Communication Skills in English
IQVIA is a leading global provider of advanced analytics, technology solutions and clinical research services to the life sciences industry. We believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier world. Learn more at https://jobs.iqvia.com",IQVIA,"10,001+",Hospitals and Health Care,Full-time,-,Hybrid
"Data Scientist, Payment Fraud","We are building a top European data science team focused on urban mobility and are looking for exceptional people to join as one of the senior members of the team. You will enjoy an opportunity to use your creativity in algorithm design and apply cutting-edge technologies to develop models, automate and optimize data-driven decisions and enable the entire organization to tap into the value of ML technologies. We partner with people from strong technology companies and computer science institutes.


What this role is about:

You’ll be working in the Fraud team which is responsible for detecting and preventing payment fraud (stolen credit cards, chargebacks, campaigns fraud). Fraud team is a cross functional team consisting of product managers, fraud data analysts, software engineers and data scientists. Our fraud engine is a high load system which inspects every order across all of our business lines to detect potential fraudulent behaviour and financial loss to the company. See what Elizaveta from our data science team wrote about How to stop fraud with ML — best practices at Bolt.

Your daily adventures will include:

Working with a technical stack consisting of Python, Docker, SageMaker, Airflow, Databricks
Building fraud prediction models using gradient boosted trees and other prediction approaches
Designing and running A/B tests. Interpreting test results and proposing improvements to the Fraud product
Optimising the models across all our markets to minimise losses from fraudulent transitions (false negatives) and prevent unnecessary friction for regular users (false positives)
Handling the entire lifecycle from exploratory queries and notebook prototypes to a working machine learning model or other automation that might be serving thousands of calls per second in production
Leveraging our in-house data and model platform that allow you to launch new projects in a matter of days
Working in product feature teams together with data analysts, product managers and software engineers
Discussing the problems and technical innovations within the broader data science team that provides a pool of peers and mentors
Deploy and validate solutions for millions of users, enabling fast feedback and measurable added value to customers

We are looking for:

Experience in Python programming, including libraries like Pandas/Numpy/sklearn/OR-tools
Experience writing complex SQL queries
Experience in applying machine learning algorithms to real world problems
Basics of software version control, cloud infrastructure, build and deployment pipelines
Understanding and practical experience with statistical hypothesis testing
Proactive mindset, willingness to take initiative and work with little supervision
Enthusiasm to collaborate with different roles in product, analytics and engineering to identify problems, explore trends and untap growth opportunities
Strong verbal and written communication skills in English

You will get extra credits for:

Previous experience in fraud detection in payments
Track record of deploying models to production and measuring the impact
Experience conducting control group tests in production environments
Familiarity with any cloud systems (AWS, Azure, Google app engine)
MSc or PhD in a quantitative field",Bolt,"1,001-5,000",Computer Software,Full-time,Entry level,-
"Lead Business Intelligence Analyst, Growth","As a Lead Business Intelligence Analyst, you will be playing a key part in fuelling our rocket growth. You will be responsible for developing and maintaining our business reporting, enhancing Looker data model and creating awesome visualization to support the Growth Analytics team and Bolt Management with BI needs.

Your daily adventures will include:
Develop business reports and dashboards for Growth Analytics team
Perform data analysis by writing SQL queries to answer ad-hoc business questions and provide insights on customer base, marketplace balance, growth metrics for our team
Suggest new metrics, tools, processes for our reporting to ensure consistency and reliability of data-driven decision-making across the organization
Work with cross-teams to audit the definitions of business metrics and accuracy of data, improve data model and data pipelines
Implement appropriate solutions for improving data availability and load times e.g., caching query data, persisting tables, etc
Support Data Engineers in migration to Data Lake to decrease data latency in reporting

We Are Looking For:
5+ years of experience in Business analytics, marketing, data visualization, data modeling, information systems, computer science, data engineering or closely related fields.
Passion for understanding the business needs and processes, visualization of business insights and automation of BI needs.
Experience with the majority of the following skills and tools: SQL, Looker / PowerBI / Tableau, R, Python, Advanced Excel, Excel Macros, Airflow, Databricks, Data Modeling.
Amazing attention to details and high self-organization + awesome visualization skills.
Ability to communicate effectively with different stakeholders and work collaboratively with team members from different backgrounds.

You will get extra credits for:
Experience in gathering the business needs and developing the C-level reporting.
Experience in designing data models, ETL and data pipelines
Automation of reporting in google-sheets.
1-3 years experience with Looker: LookML models development, looks, and dashboards.",Bolt,"1,001-5,000",Computer Software,Full-time,Mid-Senior level,-
"Data Scientist, Financial Planning","We are building a top European data science team focused on urban mobility and are looking for exceptional people to join our team. You will enjoy an opportunity to use your creativity in algorithm design and apply cutting-edge technologies to develop models, automate and optimize data-driven decisions and enable the entire organization to tap into the value of ML technologies. We partner with people from strong technology companies and computer science institutes.


Some examples of real life projects we work on:

Time series forecasts of financial and marketplace indicators with custom horizons
Simulate of marketplace states with regard to particular investment scenarios
Macro level budget optimisation: what markets and when should get investments to maximise profits and revenue
Micro level budget optimisation: what customer segments and when should get monetary subsidiaries to maximise activation/engagement/retention
Model the influence of external factors – such as weather, COVID, special events – on company financials.

Your daily adventures will include:

Develop and maintain predictive models to stabilize and improve accuracy of financial forecasts for different business verticals.
Research, test and apply novel forecasting techniques and methods for existing solutions.
Deploy models to production using AWS and internal model lifecycle tooling.
Solve optimization problems for campaigns budget allocation within local and global constraints.
Communicate and present results to product and business stakeholders.
Working with a technical stack consisting of Python, Docker, SageMaker, Airflow, Redshift

We are looking for:

Industry experience in machine learning and time series analysis (3+ years recommended)
Proactive mindset, willingness to take initiative and work with little supervision
Open to collaboration team player with effective communication skills
Experience in practical machine learning: GLM/Regression, boosting, bagging, simulation, scenario analysis, feature engineering, modeling, error analysis etc.
Experience in time series analysis, modelling multivariate time series, familiarity with existing forecasting techniques
Ability to write production level code
Experience writing complex SQL queries
Track record of deploying models to production and measuring the impact

You will get extra credits for:

Experience with multivariate time series forecasting methods
PhD in Computer Science, statistics or related quantitative fields, or a Master's degree with equivalent industry experience
We get also excited if you have background in econometrics, operations research, simulation or quantitative analysis of behaviour",Bolt,"1,001-5,000",Computer Software,Full-time,Entry level,-
"Data Scientist, Campaigns","We are building a top European data science team focused on urban mobility and are looking for exceptional people to join our team. You will enjoy an opportunity to use your creativity in algorithm design and apply cutting-edge technologies to develop models, automate and optimize data-driven decisions and enable the entire organization to tap into the value of ML technologies. We partner with people from strong technology companies and computer science institutes.


Some examples of real life projects we work on:

Uplift modelling: identify users who likely respond to promo campaigns and cover its cost in the long term.
Customer segmentation: discover rider, driver and eater segments for efficient campaigns targeting.
Prioritize acquisition channels based on customer lifetime value.
Discover user sessions that may be converted only with discounts

Your daily adventures will include:

Machine learning and statistical model development and its deployment into production environment
Setting up A/B tests, collecting, interpreting its results and communicating to stakeholders
Studying historical user behaviour data to identify opportunities for optimisation
Implementation of causal inference framework to quantify causal effects of particular user campaigns
Working with a technical stack consisting of Python, Docker, SageMaker, Airflow, Redshiftn
Collaborating with data analysts, data scientists, product managers and software engineers in feature teams

We are looking for:

Industry experience in machine learning and data analytics (3+ years recommended)
Knowledge of statistics, probability and causal inference
Understanding experimental design such as A/B testing
Strong product thinking, ability to communicate and persuade, problem solving
Ability to map business and product problems on data science framework
Effective communication and problem solving
Familiarity with customer segmentation (RFM, HVC, LTV, CAC, similar audience models, etc.)
Proactive mindset, willingness to take initiative and work with little supervision
Team player with excellent communication skills
Experience writing complex SQL queries
Track record of deploying models to production and measuring the impact

You will get extra credits for:

Experience in modelling and successful implementation of causal inference
Ph.D. in Computer Science, statistics or related quantitative fields, or a Master's degree with equivalent industry experience
We get also excited if you have background in econometrics, operations research, simulation or quantitative analysis of behaviour",Bolt,"1,001-5,000",Computer Software,Full-time,Mid-Senior level,-
Business Intelligence Analyst - Estonia,"We are looking for a Business Intelligence Analyst who is an SQL enthusiast, collaborator, and team player to join the Services Operational Excellence team within the Customer Support and Services organization in Estonia. If you are inquisitive and searching for an opportunity to find answers in data, let’s talk!

You possess solid knowledge and hands-on experience with data structures and data modeling. You are a creative thinker who can turn data into insight that supports business decisions. You are resourceful and able to think outside the box to solve complex problems with a positive outlook and can work both independently and in a team environment. You are open to ideas and willing to learn and grow. You thrive in a dynamic and fast-paced environment. You are detail-oriented and deadline-driven to deliver accurate results on time. If this describes you, you’re the right candidate for the role!

Responsibilities

Partner closely with the business and technical teams to translate business requirements into technical specifications and build reports and dashboards in Power BI
Analyze data results and communicate findings in a simple and concise format to business stakeholders
Collaborate with IT to understand the customer support and services data architecture
Migrate existing reports and interfaces from other platforms to Power BI
Work closely with the business and technical teams to ensure the project delivery meets the business requirements
Research and find solutions for issues related to the reporting environment

Basic Qualifications

Excellent English Skills verbal, written, and visual presentations
Bachelor’s Degree in Computer Science, Business or another related discipline
Experienced in collecting user requirements with the ability to understand complex business needs and translate them into solutions in Power BI
2+ years of industry experience authoring BI report solutions with Microsoft Power BI platform
Demonstrated aptitude writing complex SQL statements and an understanding of logical and physical data modeling
Versed in the Microsoft Office Suite with an emphasis on Excel (experience coding in VBA a plus)
Ability to work in teams and as an individual contributor – strong consultative and consensus-building skills
Strong analytical and problem-solving skills

Preferred Qualifications

1+ year of experience with PowerBI

Considering COVID-19, we are still hiring but conducting virtual interviews to keep our candidates and employees safe. Many roles will be remote or work from home to comply with current safety regulations.

We call this Pervasive Data Intelligence. It’s the answer to the complexity, cost, and inadequacy of today’s analytics. And it's the way Teradata transforms how businesses work and people live through the power of data throughout the world. Join us and help create the era of Pervasive Data Intelligence.

About Apeiron Sumus:

Apeiron Sumus is a Microsoft Partner dedicated to provide specialized services for cloud adoption and transformation.

Powered by JazzHR
",ApeironSumus,51-200,Information Technology & Services,Full-time,Mid-Senior level,-
Data Scientist,"We are building a top European data science team focused on urban mobility and are looking for exceptional people to join our team. You will enjoy an opportunity to use your creativity in algorithm design and apply cutting-edge technologies to develop models, automate and optimize data-driven decisions and enable the entire organization to tap into the value of ML technologies. We partner with people from strong technology companies and computer science institutes.


Some examples of real life projects we work on:

Balancing demand and supply through algorithmic pricing
Optimising the potential investment portfolio over markets and product lines
Processing documents at scale through computer vision and OCR
Using recent traffic patterns for predicting accurate ETAs
Inferring missing map elements using the GPS traces of our drivers
A/B experimentation platform and agent-based simulation of cities
User behaviour pattern analysis and prediction

Your daily adventures will include:

Working with a technical stack consisting of Python, Docker, SageMaker, Airflow, Spark, Redshift
Solving real world problems using gradient boosted trees, uplift modelling, mathematical optimisation, time series forecasting, recommender systems, deep learning and more
Translating business problems to technical specifications
Handling the entire lifecycle from exploratory queries and notebook prototypes to a working machine learning model or other automation that might be serving thousands of calls per second in production
Leveraging our in-house data and model platform that allow you to launch new projects in a matter of days
Working in product feature teams together with data analysts, product managers and software engineers
Discussing the problems and technical innovations within the broader data science team that provides a pool of peers and mentors
Deploy and validate solutions for millions of users, enabling fast feedback and measurable added value to customers

We are looking for:

Industry experience in data science and machine learning (3+ years recommended)
Awareness of both business and technical aspects of data science
Experience in Python programming, including libraries like Pandas/Numpy/sklearn/OR-tools
Experience writing complex SQL queries
Understanding and practical experience with statistical hypothesis testing
Proactive mindset, willingness to take initiative and work with little supervision
Enthusiasm to collaborate with different roles in product, analytics and engineering to identify problems, explore trends and untap growth opportunities
Strong verbal and written communication skills in English
Track record of deploying models to production and measuring the impact

You will get extra credits for:

Product development experience in a technology company
Experience with experimentation or simulation
Experience with causal inference from observational data
Familiarity with any cloud systems (AWS, Azure, Google app engine)
PhD, MSc or BSc in a quantitative field",Bolt,"1,001-5,000",Computer Software,Full-time,Mid-Senior level,-
"Senior Data Analyst, Platform","We are looking for a Senior Product Analyst who will own and develop the analytics framework for one of our Platform teams. Used across all Bolt verticals, Platform technologies range from Geospatial services, Document & Identity verification, and Communication channels to Customer Support interfaces and Automation tools.


This role is aimed at those who love figuring out a complex problem but are also able to estimate the impact generated by the solution. As one of the pillars of the product team, you will be working closely with product managers, engineers, data scientists, designers and operations specialists. By being a data expert equipped with product and business sense, you will be discovering actionable insights that will improve the experience of 75+ million Bolt users across 300+ markets.


Your daily adventures will include:

Define product goals (KPIs), build data models and craft product dashboards.
Design A/B experiments, analyse the results, and provide decision recommendations.
Collaborate with stakeholders (Analysts, PMs, Engs) from other teams and advise them on how to leverage Platform’s data.
Write clear and concise reports of your analyses and educate relevant stakeholders about your findings
Estimate ROI of product initiatives, contribute to product roadmaps and help define requirements for engineers.
Explore data from multiple sources and help understand how products are used and guide the product development process.

We are looking for:

Strong SQL and Python or R skills.
A clear understanding of statistical modelling and experimental design.
Ability to transform large-scale data analysis into interpretable, easy-to-understand action points.
Proactive attitude, sense of ownership and ability to work autonomously.
Experience with BI and data visualization tools (Looker, Mixpanel, Tableau, etc).
Fluent in English.

You'll get extra credits for:

Experience in one or more of the following domains: Geo (Routing, Positioning, Maps, Places), Identity (KYC, Identity fraud), and Communications (Chat, NLP, VoiP).
Experience in building products in a startup or tech/product company.
Practical experience with Machine Learning frameworks.

Why you’ll love it here:

Play a direct role in shaping the future of mobility.
Impact millions of customers and partners in 500+ cities across 45 countries.
Make your mark at one of the fastest-growing organisations in Europe.
Work in fast-moving autonomous teams with some of the smartest people in the world.
Accelerate your professional growth and enjoy unique career opportunities.
Get a rewarding salary and stock option package that lets you focus on doing your best work.
Enjoy health care coverage, extra vacation days, and plenty of other perks to help you be the best you!",Bolt,"1,001-5,000",Computer Software,Full-time,Mid-Senior level,-
"Senior Data Analyst, Product","Our whole platform lives and breaths on data and in order to succeed we need to be a highly data-driven company. Every step of our product development is accompanied by Data Analysts that estimate the impact, collaborate on delivery and measure the effect. We are solving the most interesting data problems on a scale - more than 40+ countries and 5 different products. We believe that every decision can and should be accompanied by data - if you feel the same way, you’ll fit right in!


Your daily adventures will include:

Interpret data, analyze results using statistical techniques and provide reports to make business recommendations (e.g. cost-benefit, forecasting, impact analysis)
Proactively work together with other stakeholders to communicate data-based insights
Identify, analyze, and interpret trends or patterns in complex data sets
Work with Product Managers to prioritize business and information needs

We are looking for:

BS in Mathematics, Economics, Computer Science, Information Management or Statistics
At least 2-4 years of experience dealing with large volumes of data
Amazing SQL skills
Experience with Python or R
Experience with some BI tools and data visualization
Experience ML frameworks is a plus
Great written communication
Experience with business and financial analytics is a big plus
Fluent in English

Why you’ll love it here:

Play a direct role in shaping the future of mobility.
Impact millions of customers and partners in 500+ cities across 45 countries.
Make your mark at one of the fastest-growing organisations in Europe.
Work in fast-moving autonomous teams with some of the smartest people in the world.
Accelerate your professional growth and enjoy unique career opportunities.
Get a rewarding salary and stock option package that lets you focus on doing your best work.
Enjoy health care coverage, extra vacation days, and plenty of other perks to help you be the best you!",Bolt,"1,001-5,000",Computer Software,Full-time,Mid-Senior level,-
"Senior Data Analyst, CRM Marketing","We are looking for a Senior Data Analyst who will own and develop the analytics framework for our CRM Marketing team. As a Senior Data Analyst you will be leading research projects and building global frameworks, defining the ways in which we can improve how we communicate with 100+ million Bolt users and partners across 300+ markets.

Your daily adventures will include:
Developing the methodology and playbooks for analyzing the impact of communications; and helping with applications by the team members in analytics and communications teams
Improving users segmentation and targeting
Setting up and analyzing the experiments, proposing and testing hypothesis for driving additional impact from communications
Interpret data, analyze results using statistical techniques and provide reports to make recommendations (e.g. impact analysis, user’s clustering, forecasting)
Working closely on evaluation and improvement of communication and analytical tools with Marketing Technology, Product, and CRM Marketing teams to make sure that we have all the needed functionality for the most impactful communications and impact measurement
Guiding a small team of data analysts

What we’re looking for:
Previous experience of working with CRM and/or user lifecycle data analytics
At least 4 years experience in dealing with large volumes of data as an analyst, statistician or econometrician
Solid grasp of statistics
Extensive experience in A/B testing and other experimentation techniques
Advanced SQL
Strong skills in data analysis and modeling using Python or R
Experience with ML frameworks
Experience with causal inference, uplift modeling and other methods relevant for analysis of marketing communications
Good written and verbal communication, fluency in English

Previous work experience in a similar position in a large company or in an agency

Data Science background

Previous work experience with large customer engagement/communication platforms (think Clevertap, Braze, Leanplum or similar).

Experience in leading mid-to-senior data analysts formally or informally",Bolt,"1,001-5,000",Computer Software,Full-time,Mid-Senior level,-
"Senior Data Analyst, Marketing","We are looking for a Senior Data Analyst to join our Marketing team who will be responsible for shaping the way we communicate with our existing customers and partners across all sides of Bolt's business. You will be the one who helps us to identify the best ways to engage with our riders, drivers, eaters by using our marketing and business data.

We expect you to focus a lot on researching the best methods for evaluating communication effectiveness or increasing personalisation - and then validating together with other team members in Lifecycle Marketing (CRM), Marketing Technology, Data Engineering, and Data Science.

As a Senior Data Analyst, you will need to have a solid grasp of statistics, be able to apply it across a wide range of problems and explain the results to team members and stakeholders.

Your daily adventures will include :
Developing the methodology and playbooks for analysing the impact of communications; and helping with applications by the team members in analytics and communications teams
Improving users segmentation and targeting
Setting up and analysing the experiments, proposing and testing hypotheses for driving additional impact from communications
Interpret data, analyse results using statistical techniques and provide reports to make recommendations (e.g. impact analysis, user’s clustering, forecasting)
Working closely on evaluation and improvement of communication and analytical tools to make sure that we have all the needed functionality for the most impactful communications and impact measurement.

What we are looking for :
At least 2 years experience dealing with large volumes of data as an analyst, statistician or econometrician
Previous experience with working with user data
Solid grasp of statistics
Demonstrated experience with A/B testing and other experimentation techniques
Advanced SQL
Strong skills with analysis and modeling in Python or R
Experience with ML frameworks is a plus but not mandatory
Good written communication - Fluent in English.
Experience with working with CRM or marketing communications
Experience with causal inference, uplift modelling, or other methods relevant for analysis of marketing communications
Previous work experience on a similar position in a large company or in an agency
Previous work experience in large customer engagement/communication platforms (think Clevertap, Braze, Leanplum or similar).",Bolt,"1,001-5,000",Computer Software,Full-time,Mid-Senior level,-
Data Analyst (Global Remote),"PASSION.io is building the future of the Creator economy. Our mission is to empower Creators to unlock the power of their passion and make an impact on their audiences. We are building a SaaS platform that enables Creators to seamlessly build their own mobile apps with their own branded content. The Passion.io platform provides Creators with the tools and features needed to run their business from anywhere at any time from their mobile phone. We are an international remote team with the majority of our customers residing in the US.

We are looking for a passionate and experienced Data Analyst to join our team! If you are someone whose goal is to extract value from data by uncovering useful information and enabling data-driven business decision-making we would love to meet you!

This is an exciting career move for someone with first experience in a global management consulting firm since you will report to our VP Finance and work closely with our CEO. You will be our first Data hire with the potential to grow into the Head of Data position.

Requirements

What you'll bring to the team
You are innately curious, empathetic, analytical, and a fast learner
You love being able to take the science of Data to actively contribute to the decision making process in Customer Success, Product, and Marketing.
You are driven by curiosity and enthusiasm for learning new technologies and skills to turn data into value-creating insights to propel retention and lifetime value in SaaS
You thrive on discovering “aha moments” and gaining deep understanding of what drives leading metrics and KPIs
You are keen to validate current assumptions and hypothesis, as well as have the confidence to question them based on findings you uncover
Fluent in English.

What You'll Be Working On
The ideal candidate is able to translate business questions into an analysis, write SQL queries to pull the required data, and apply the appropriate mathematical rigor to extract a meaningful answer to the question
You will assume ownership of our data infrastructure and processes, and make improvements where appropriate as we build a best-in-class data organization
You will engage with Customer Success, Product, and Marketing teams to build dashboards and reports that monitor KPIs and metrics
You will provide data that is accessible and updates in real-time
You will become a master of retention/churn drivers and insights

Benefits

What we offer you
Steep learning curve: Expect the steepest learning curve you have ever experienced - we are building a playground at passion.io to become the best version of ourselves. Meet and work with successful people worldwide to learn their success secrets.
Values-based company: Be part of an open, honest, creative, and results-driven environment where your opinion is highly valued. We want to change the world for the better by providing value to others.
High-growth environment: You will be part of a strongly growing company, with the opportunity to develop into a key contributor with crucial responsibilities.
Personal and professional development: You will tackle projects across departments and thereby gain an invaluable tool box for successfully tackling bigger and bigger challenges.
Autonomy / entrepreneurial work-style: You will only be measured by the results you produce and are in the driver’s seat, with full flexibility.
Remoteness and flexibility: You will join our truly international remote team from over 20 countries and work from anywhere you wish.
Growth: We reward top performers with promotions and space to grow into higher positions.

Want to know what it's like to work at Passion.io?",Passion.io,51-200,E-learning,Full-time,-,Remote
Data Scientist,"Creditstar Group is a rapidly growing international consumer finance company, headquartered in Tallinn, Estonia and operating in multiple European markets.

At the core, we are a financial technology company that uses automated processes, algorithms and data analysis to make financial instruments easily available to a population of more than 175 million people in our target markets. We are a team of ambitious professionals who value innovation, speed, high growth and high performance. For more information on the group, please visit www.creditstar.com.

Our vision is to build and deliver digital banking products of the future. If you want to be part of this, here is your chance.

YOUR POSITION:

DATA SCIENTIST

YOUR ROLE:

How about being a key player in driving the data strategy in the company? We are looking for a Data Scientist who will own and develop the data science framework for all our Products across the Group.

As a Data Scientist you will be at the forefront of underwriting development, defining how and what data should be collected to improve our decision making and enable discovery of actionable insights that will improve the experience of our customers in 8 countries. You will be helping Product and Risk Managers make data-informed decisions and lead your own projects. With us, you can push your creative ideas forward and take care of making innovation in the data-driven world!

YOUR DAILY ADVENTURES WILL INCLUDE:
Build models based on data to predict customers’ payment behavior.
Design A/B experiments, analyze the results, and provide decision recommendations.
Work in tight cooperation with stakeholders to analyze complex data and provide data-driven insights for business-critical decisions.
Review the work and provide feedback to data analysts and data scientists.
Share your knowledge and provide training on best practices in data processing and analytics methodologies.
Define data science strategy, communicate and align it with the management and other teams.
Propose, assess, prioritize, and lead data science projects.
Work closely with data engineers to ensure the best possible data infrastructure across products.
Research and implement best practices and standards in Data Science across product teams.

Requirements
At least 3 years professional experience related to data science.
BS in Mathematics, Economics, Computer Science, Physics or Statistics
Excellent knowledge of SQL and Python (or a similar scripting language).
Knowledge of machine learning and statistical modeling techniques.
Strong analytical and problem-solving skills.
Good project management skills.
Proactive attitude, sense of ownership, ability to work autonomously but also to coach other team members
Having a startup mindset and willingness to work in a fast evolving environment.
Fluency in spoken and written English.
Passion about what you do.

BONUS POINTS IF YOU HAVE:
Experience of project and people leadership.
Good understanding of Dimensional Modeling techniques.
Previous work experience in the Financial/Fintech sector.

Benefits
Dynamic, challenging, and rewarding work within a rapidly growing international company;
Chance to contribute to the business' decision-making processes and making a tangible impact;
Talented and fun international team who always has your back;
Supportive environment facilitating growth and achievement;
Flexible working hours;
Regular company parties and events;
Office with games, pool table, free snacks/drinks and the possibility to work remotely;
Powerful equipment and modern tools;
On-demand sponsorship for your professional development;
Competitive remuneration package.",Creditstar Group,51-200,Financial Services,Full-time,-,-
